"VARIABLE","GID","DATA","UNITS","OUTPUT"
"p_QWATERg","I00137","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00138","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00139","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00140","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00141","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00142","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00143","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00144","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00145","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00146","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00147","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00148","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00149","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00150","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00151","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00152","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00153","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00154","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00155","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00156","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00157","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00158","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00159","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00160","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00161","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00162","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00163","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00164","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00165","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00166","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00167","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00168","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00169","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00170","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00171","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00172","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00173","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00174","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00175","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00176","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00177","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00178","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00179","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00180","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00181","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00182","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00183","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00184","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00185","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00186","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00187","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00188","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00189","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00190","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00191","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00192","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00193","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00194","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00195","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00196","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00197","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00198","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00199","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00200","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00201","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00202","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00203","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00204","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00205","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00206","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00207","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00208","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00209","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00210","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00211","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00212","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00213","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00214","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00215","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00216","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00217","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00218","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00219","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00220","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00221","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00222","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00223","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00224","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00225","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00226","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00227","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00228","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00229","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00230","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00231","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00232","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00233","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00234","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00235","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00236","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00237","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00238","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00239","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00240","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00241","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00242","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00243","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00244","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00245","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00246","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00247","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00248","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00249","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00250","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00251","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00252","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00253","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00254","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00255","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00256","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00257","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00258","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00259","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00260","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00261","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00262","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00263","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00264","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00265","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00266","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00267","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00268","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00269","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00270","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00271","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00272","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00273","1e+10","K m^3 / YR","NEW VALUE"
