x,y,GID
-122.8750006,44.20833354,471
-122.8750006,44.29166687,472
-122.8750006,44.3750002,473
-122.8750006,44.45833353,474
-122.8750006,44.54166686,475
-122.8750006,44.62500019,476
-122.8750006,44.70833352,477
-122.8750006,44.79166685,478
-122.8750006,44.87500018,479
-122.8750006,44.95833351,480
-122.8750006,45.04166684,481
-122.8750006,45.12500017,482
-122.8750006,45.2083335,483
-122.8750006,45.29166683,484
-122.8750006,45.37500016,485
-122.8750006,45.45833349,486
-122.8750006,45.54166682,487
-122.8750006,45.62500015,488
-122.8750006,45.70833348,489
-122.8750006,45.79166681,490
-122.8750006,45.87500014,491
-122.8750006,45.95833347,492
-122.8750006,46.12500013,493
-122.8750006,46.20833346,494
-122.8750006,46.29166679,495
-122.8750006,46.37500012,496
-122.8750006,46.45833345,497
-122.8750006,46.54166678,498
-122.8750006,46.62500011,499
-122.8750006,46.70833344,500
-122.8750006,46.79166677,501
-122.8750006,46.8750001,502
-122.8750006,46.95833343,503
-122.8750006,47.04166676,504
-122.8750006,47.45833341,505
-122.7916673,38.37500044,506
-122.7916673,38.45833377,507
-122.7916673,38.5416671,508
-122.7916673,38.62500043,509
-122.7916673,38.70833376,510
-122.7916673,38.87500042,511
-122.7916673,38.95833375,512
-122.7916673,39.12500041,513
-122.7916673,41.29166699,514
-122.7916673,41.37500032,515
-122.7916673,41.45833365,516
-122.7916673,41.54166698,517
-122.7916673,41.62500031,518
-122.7916673,42.20833362,519
-122.7916673,42.29166695,520
-122.7916673,42.37500028,521
-122.7916673,42.45833361,522
-122.7916673,42.54166694,523
-122.7916673,42.62500027,524
-122.7916673,43.87500022,525
-122.7916673,43.95833355,526
-122.7916673,44.04166688,527
-122.7916673,44.12500021,528
-122.7916673,44.20833354,529
-122.7916673,44.29166687,530
-122.7916673,44.3750002,531
-122.7916673,44.45833353,532
-122.7916673,44.54166686,533
-122.7916673,44.62500019,534
-122.7916673,44.70833352,535
-122.7916673,44.79166685,536
-122.7916673,44.87500018,537
-122.7916673,44.95833351,538
-122.7916673,45.04166684,539
-122.7916673,45.12500017,540
-122.7916673,45.2083335,541
-122.7916673,45.29166683,542
-122.7916673,45.37500016,543
-122.7916673,45.54166682,544
-122.7916673,45.70833348,545
-122.7916673,45.79166681,546
-122.7916673,45.87500014,547
-122.7916673,45.95833347,548
-122.7916673,46.37500012,549
-122.7916673,46.45833345,550
-122.7916673,46.54166678,551
-122.7916673,46.62500011,552
-122.7916673,46.70833344,553
-122.7916673,46.79166677,554
-122.7916673,46.8750001,555
-122.7916673,46.95833343,556
-122.7916673,47.45833341,557
-122.708334,38.20833378,558
-122.708334,38.29166711,559
-122.708334,38.37500044,560
-122.708334,38.45833377,561
-122.708334,38.5416671,562
-122.708334,38.62500043,563
-122.708334,38.87500042,564
-122.708334,38.95833375,565
-122.708334,41.29166699,566
-122.708334,41.37500032,567
-122.708334,41.54166698,568
-122.708334,42.20833362,569
-122.708334,42.29166695,570
-122.708334,42.37500028,571
-122.708334,42.45833361,572
-122.708334,42.54166694,573
-122.708334,42.62500027,574
-122.708334,42.79166693,575
-122.708334,43.95833355,576
-122.708334,44.04166688,577
-122.708334,44.12500021,578
-122.708334,44.29166687,579
-122.708334,44.3750002,580
-122.708334,44.45833353,581
-122.708334,44.54166686,582
-122.708334,44.62500019,583
-122.708334,44.70833352,584
-122.708334,44.79166685,585
-122.708334,44.87500018,586
-122.708334,44.95833351,587
-122.708334,45.04166684,588
-122.708334,45.12500017,589
-122.708334,45.2083335,590
-122.708334,45.29166683,591
-122.708334,45.37500016,592
-122.708334,45.45833349,593
-122.708334,45.70833348,594
-122.708334,45.79166681,595
-122.708334,45.87500014,596
-122.708334,45.95833347,597
-122.708334,46.0416668,598
-122.708334,46.29166679,599
-122.708334,46.45833345,600
-122.708334,46.54166678,601
-122.708334,46.62500011,602
-122.708334,46.8750001,603
-122.708334,47.7083334,604
-122.708334,48.95833335,605
-122.6250007,38.20833378,606
-122.6250007,38.29166711,607
-122.6250007,38.37500044,608
-122.6250007,38.45833377,609
-122.6250007,38.5416671,610
-122.6250007,38.62500043,611
-122.6250007,38.70833376,612
-122.6250007,38.79166709,613
-122.6250007,38.87500042,614
-122.6250007,40.45833369,615
-122.6250007,41.37500032,616
-122.6250007,41.54166698,617
-122.6250007,41.62500031,618
-122.6250007,41.70833364,619
-122.6250007,41.79166697,620
-122.6250007,41.95833363,621
-122.6250007,42.04166696,622
-122.6250007,42.12500029,623
-122.6250007,42.20833362,624
-122.6250007,42.37500028,625
-122.6250007,42.45833361,626
-122.6250007,43.79166689,627
-122.6250007,44.12500021,628
-122.6250007,44.3750002,629
-122.6250007,44.70833352,630
