REG,STATE,LTYPE,GID,MLRA,FRR,WBD
E_Euro,AL,Irrigated,I00001,NFFSC,HEARTLND,NEW_ENG
N_Afr,AZ,Rainfed,I00002,CSFTSC,N_CRESC,MID_ATL
SSA,AR,,I00003,NWRR,N_GRTPLN,S_ATL_GLF
S_Amer,CA,,I00004,WRI,PRAIRIE_G,GRT_LAKES
AUS_NZ,CO,,I00005,RMRF,E_UPLAND,OH_REG
EU,CT,,I00006,WGPRI,S_SEABRD,TN_REG
S_Asia,DE,,I00007,NGPSW,FRUIT_RIM,UP_MS_REG
CC_Amer,FL,,I00008,CGPWWR,BASIN_RNG,LO_MS_REG
S_Afr,GA,,I00009,SPPRC,MS_PORT,SOURIS
SE_Asia,ID,,I00010,SPCF,,MO_REG
CAN,IL,,I00011,CFGL,,WHITE_RED
US,IN,,I00012,AGCLFC,,TXS_GULF
CHN_MNG,IA,,I00013,ECFF,,RIO_GRND
M_East,KS,,I00014,SAGSCCFL,,UP_CO_REG
JPN_KR,KY,,I00015,NLSFF,,LO_CO_REG
C_Asia,LA,,I00016,MDCFG,,GRT_BASIN
,ME,,I00017,LSFTCD,,PAC_NW
,MD,,I00018,NFF,,CA_REG
,,,I00496,,,
,,,I00497,,,
,,,I00498,,,
,,,I00499,,,
,,,I00500,,,
,,,I00501,,,
,,,I00502,,,
,,,I00503,,,
,,,I00504,,,
,,,I00505,,,
,,,I00506,,,
,,,I00507,,,
,,,I00508,,,
,,,I00509,,,
,,,I00510,,,
,,,I00511,,,
,,,I00512,,,
,,,I00513,,,
,,,I00514,,,
,,,I00515,,,
,,,I00516,,,
,,,I00517,,,
,,,I00518,,,
,,,I00519,,,
,,,I00520,,,
,,,I00521,,,
,,,I00522,,,
,,,I00523,,,
,,,I00524,,,
,,,I00525,,,
,,,I00526,,,
,,,I00527,,,
,,,I00528,,,
,,,I00529,,,
,,,I00530,,,
,,,I00531,,,
,,,I00532,,,
,,,I00533,,,
,,,I00534,,,
,,,I00535,,,
,,,I00536,,,
,,,I00537,,,
,,,I00538,,,
,,,I00539,,,
,,,I00540,,,
,,,I00541,,,
,,,I00542,,,
,,,I00543,,,
,,,I00544,,,
,,,I00545,,,
,,,I00546,,,
,,,I00547,,,
,,,I00548,,,
,,,I00549,,,
,,,I00550,,,
,,,I00551,,,
,,,I00552,,,
,,,I00553,,,
,,,I00554,,,
,,,I00555,,,
,,,I00556,,,
,,,I00557,,,
,,,I00558,,,
,,,I00559,,,
,,,I00560,,,
,,,I00561,,,
,,,I00562,,,
,,,I00563,,,
,,,I00564,,,
,,,I00565,,,
,,,I00566,,,
,,,I00567,,,
,,,I00568,,,
,,,I00569,,,
,,,I00570,,,
,,,I00571,,,
,,,I00572,,,
,,,I00573,,,
,,,I00574,,,
,,,I00575,,,
,,,I00576,,,
,,,I00577,,,
,,,I00578,,,
,,,I00579,,,
,,,I00580,,,
,,,I00581,,,
,,,I00582,,,
,,,I00583,,,
,,,I00584,,,
,,,I00585,,,
,,,I00586,,,
,,,I00587,,,
,,,I00588,,,
,,,I00589,,,
,,,I00590,,,
,,,I00591,,,
,,,I00592,,,
,,,I00593,,,
,,,I00594,,,
,,,I00595,,,
,,,I00596,,,
,,,I00597,,,
,,,I00598,,,
,,,I00599,,,
,,,I00600,,,
,,,I00601,,,
,,,I00602,,,
,,,I00603,,,
,,,I00604,,,
,,,I00605,,,
,,,I00606,,,
,,,I00607,,,
,,,I00608,,,
,,,I00609,,,
,,,I00610,,,
,,,I00611,,,
,,,I00612,,,
,,,I00613,,,
,,,I00614,,,
,,,I00615,,,
,,,I00616,,,
,,,I00617,,,
,,,I00618,,,
,,,I00619,,,
,,,I00620,,,
,,,I00621,,,
,,,I00622,,,
,,,I00623,,,
,,,I00624,,,
,,,I00625,,,
,,,I00626,,,
,,,I00627,,,
,,,I00628,,,
,,,I00629,,,
,,,I00630,,,
,,,I00631,,,
,,,I00632,,,
,,,I00633,,,
,,,I00634,,,
,,,I00635,,,
,,,I00636,,,
,,,I00637,,,
,,,I00638,,,
,,,I00639,,,
,,,I00640,,,
,,,I00641,,,
,,,I00642,,,
,,,I00643,,,
,,,I00644,,,
,,,I00645,,,
,,,I00646,,,
,,,I00647,,,
,,,I00648,,,
,,,I00649,,,
,,,I00650,,,
,,,I00651,,,
,,,I00652,,,
,,,I00653,,,
,,,I00654,,,
,,,I00655,,,
,,,I00656,,,
,,,I00657,,,
,,,I00658,,,
,,,I00659,,,
,,,I00660,,,
,,,I00661,,,
,,,I00662,,,
,,,I00663,,,
,,,I00664,,,
,,,I00665,,,
,,,I00666,,,
,,,I00667,,,
,,,I00668,,,
,,,I00669,,,
,,,I00670,,,
,,,I00671,,,
,,,I00672,,,
,,,I00673,,,
,,,I00674,,,
,,,I00675,,,
,,,I00676,,,
,,,I00677,,,
,,,I00678,,,
,,,I00679,,,
,,,I00680,,,
,,,I00681,,,
